pmid,year,journal,title,abstract,authors
30388456,2018,Cell,Defining T Cell States Associated with Response to Checkpoint Immunotherapy in Melanoma.,"Treatment of cancer has been revolutionized by immune checkpoint blockade therapies. Despite the high rate of response in advanced melanoma, the majority of patients succumb to disease. To identify factors associated with success or failure of checkpoint therapy, we profiled transcriptomes of 16,291 individual immune cells from 48 tumor samples of melanoma patients treated with checkpoint inhibitors. Two distinct states of CD8","Sade-Feldman, Moshe;Yizhak, Keren;Bjorgaard, Stacey L;Ray, John P;de Boer, Carl G;Jenkins, Russell W;Lieb, David J;Chen, Jonathan H;Frederick, Dennie T;Barzily-Rokni, Michal;Freeman, Samuel S;Reuben, Alexandre;Hoover, Paul J;Villani, Alexandra-Chloé;Ivanova, Elena;Portell, Andrew;Lizotte, Patrick H;Aref, Amir R;Eliane, Jean-Pierre;Hammond, Marc R;Vitzthum, Hans;Blackmon, Shauna M;Li, Bo;Gopalakrishnan, Vancheswaran;Reddy, Sangeetha M;Cooper, Zachary A;Paweletz, Cloud P;Barbie, David A;Stemmer-Rachamimov, Anat;Flaherty, Keith T;Wargo, Jennifer A;Boland, Genevieve M;Sullivan, Ryan J;Getz, Gad;Hacohen, Nir"
30388455,2018,Cell,A Cancer Cell Program Promotes T Cell Exclusion and Resistance to Checkpoint Blockade.,"Immune checkpoint inhibitors (ICIs) produce durable responses in some melanoma patients, but many patients derive no clinical benefit, and the molecular underpinnings of such resistance remain elusive. Here, we leveraged single-cell RNA sequencing (scRNA-seq) from 33 melanoma tumors and computational analyses to interrogate malignant cell states that promote immune evasion. We identified a resistance program expressed by malignant cells that is associated with T cell exclusion and immune evasion. The program is expressed prior to immunotherapy, characterizes cold niches in situ, and predicts clinical responses to anti-PD-1 therapy in an independent cohort of 112 melanoma patients. CDK4/6-inhibition represses this program in individual malignant cells, induces senescence, and reduces melanoma tumor outgrowth in mouse models in vivo when given in combination with immunotherapy. Our study provides a high-resolution landscape of ICI-resistant cell states, identifies clinically predictive signatures, and suggests new therapeutic strategies to overcome immunotherapy resistance.","Jerby-Arnon, Livnat;Shah, Parin;Cuoco, Michael S;Rodman, Christopher;Su, Mei-Ju;Melms, Johannes C;Leeson, Rachel;Kanodia, Abhay;Mei, Shaolin;Lin, Jia-Ren;Wang, Shu;Rabasha, Bokang;Liu, David;Zhang, Gao;Margolais, Claire;Ashenberg, Orr;Ott, Patrick A;Buchbinder, Elizabeth I;Haq, Rizwan;Hodi, F Stephen;Boland, Genevieve M;Sullivan, Ryan J;Frederick, Dennie T;Miao, Benchun;Moll, Tabea;Flaherty, Keith T;Herlyn, Meenhard;Jenkins, Russell W;Thummalapalli, Rohit;Kowalczyk, Monika S;Cañadas, Israel;Schilling, Bastian;Cartwright, Adam N R;Luoma, Adrienne M;Malu, Shruti;Hwu, Patrick;Bernatchez, Chantale;Forget, Marie-Andrée;Barbie, David A;Shalek, Alex K;Tirosh, Itay;Sorger, Peter K;Wucherpfennig, Kai;Van Allen, Eliezer M;Schadendorf, Dirk;Johnson, Bruce E;Rotem, Asaf;Rozenblatt-Rosen, Orit;Garraway, Levi A;Yoon, Charles H;Izar, Benjamin;Regev, Aviv"
30343900,2018,Cell,High-Dimensional Analysis Delineates Myeloid and Lymphoid Compartment Remodeling during Successful Immune-Checkpoint Cancer Therapy.,"Although current immune-checkpoint therapy (ICT) mainly targets lymphoid cells, it is associated with a broader remodeling of the tumor micro-environment. Here, using complementary forms of high-dimensional profiling, we define differences across all hematopoietic cells from syngeneic mouse tumors during unrestrained tumor growth or effective ICT. Unbiased assessment of gene expression of tumor-infiltrating cells by single-cell RNA sequencing (scRNAseq) and longitudinal assessment of cellular protein expression by mass cytometry (CyTOF) revealed significant remodeling of both the lymphoid and myeloid intratumoral compartments. Surprisingly, we observed multiple subpopulations of monocytes/macrophages, distinguishable by the markers CD206, CX3CR1, CD1d, and iNOS, that change over time during ICT in a manner partially dependent on IFNγ. Our data support the hypothesis that this macrophage polarization/activation results from effects on circulatory monocytes and early macrophages entering tumors, rather than on pre-polarized mature intratumoral macrophages.","Gubin, Matthew M;Esaulova, Ekaterina;Ward, Jeffrey P;Malkova, Olga N;Runci, Daniele;Wong, Pamela;Noguchi, Takuro;Arthur, Cora D;Meng, Wei;Alspach, Elise;Medrano, Ruan F V;Fronick, Catrina;Fehlings, Michael;Newell, Evan W;Fulton, Robert S;Sheehan, Kathleen C F;Oh, Stephen T;Schreiber, Robert D;Artyomov, Maxim N"
30340042,2018,Cell,Targeting Processive Transcription Elongation via SEC Disruption for MYC-Induced Cancer Therapy.,"The super elongation complex (SEC) is required for robust and productive transcription through release of RNA polymerase II (Pol II) with its P-TEFb module and promoting transcriptional processivity with its ELL2 subunit. Malfunction of SEC contributes to multiple human diseases including cancer. Here, we identify peptidomimetic lead compounds, KL-1 and its structural homolog KL-2, which disrupt the interaction between the SEC scaffolding protein AFF4 and P-TEFb, resulting in impaired release of Pol II from promoter-proximal pause sites and a reduced average rate of processive transcription elongation. SEC is required for induction of heat-shock genes and treating cells with KL-1 and KL-2 attenuates the heat-shock response from Drosophila to human. SEC inhibition downregulates MYC and MYC-dependent transcriptional programs in mammalian cells and delays tumor progression in a mouse xenograft model of MYC-driven cancer, indicating that small-molecule disruptors of SEC could be used for targeted therapy of MYC-induced cancer.","Liang, Kaiwei;Smith, Edwin R;Aoi, Yuki;Stoltz, Kristen L;Katagi, Hiroaki;Woodfin, Ashley R;Rendleman, Emily J;Marshall, Stacy A;Murray, David C;Wang, Lu;Ozark, Patrick A;Mishra, Rama K;Hashizume, Rintaro;Schiltz, Gary E;Shilatifard, Ali"
30340040,2018,Cell,Dysregulated Microbial Fermentation of Soluble Fiber Induces Cholestatic Liver Cancer.,"Dietary soluble fibers are fermented by gut bacteria into short-chain fatty acids (SCFA), which are considered broadly health-promoting. Accordingly, consumption of such fibers ameliorates metabolic syndrome. However, incorporating soluble fiber inulin, but not insoluble fiber, into a compositionally defined diet, induced icteric hepatocellular carcinoma (HCC). Such HCC was microbiota-dependent and observed in multiple strains of dysbiotic mice but not in germ-free nor antibiotics-treated mice. Furthermore, consumption of an inulin-enriched high-fat diet induced both dysbiosis and HCC in wild-type (WT) mice. Inulin-induced HCC progressed via early onset of cholestasis, hepatocyte death, followed by neutrophilic inflammation in liver. Pharmacologic inhibition of fermentation or depletion of fermenting bacteria markedly reduced intestinal SCFA and prevented HCC. Intervening with cholestyramine to prevent reabsorption of bile acids also conferred protection against such HCC. Thus, its benefits notwithstanding, enrichment of foods with fermentable fiber should be approached with great caution as it may increase risk of HCC.","Singh, Vishal;Yeoh, Beng San;Chassaing, Benoit;Xiao, Xia;Saha, Piu;Aguilera Olvera, Rodrigo;Lapek, John D;Zhang, Limin;Wang, Wei-Bei;Hao, Sijie;Flythe, Michael D;Gonzalez, David J;Cani, Patrice D;Conejo-Garcia, Jose R;Xiong, Na;Kennett, Mary J;Joe, Bina;Patterson, Andrew D;Gewirtz, Andrew T;Vijay-Kumar, Matam"
30318143,2018,Cell,Evolution of Metastases in Space and Time under Immune Selection.,"We examined how the immune microenvironment molds tumor evolution at different metastatic organs in a longitudinal dataset of colorectal cancer. Through multiplexed analyses, we showed that clonal evolution patterns during metastatic progression depend on the immune contexture at the metastatic site. Genetic evidence of neoantigen depletion was observed in the sites with high Immunoscore and spatial proximity between Ki67","Angelova, Mihaela;Mlecnik, Bernhard;Vasaturo, Angela;Bindea, Gabriela;Fredriksen, Tessa;Lafontaine, Lucie;Buttard, Bénédicte;Morgand, Erwan;Bruni, Daniela;Jouret-Mourin, Anne;Hubert, Catherine;Kartheuser, Alex;Humblet, Yves;Ceccarelli, Michele;Syed, Najeeb;Marincola, Francesco M;Bedognetti, Davide;Van den Eynde, Marc;Galon, Jérôme"
30290139,2018,Cell,A Paradigm Shift in Cancer Immunotherapy: From Enhancement to Normalization.,"Harnessing an antitumor immune response has been a fundamental strategy in cancer immunotherapy. For over a century, efforts have primarily focused on amplifying immune activation mechanisms that are employed by humans to eliminate invaders such as viruses and bacteria. This ""immune enhancement"" strategy often results in rare objective responses and frequent immune-related adverse events (irAEs). However, in the last decade, cancer immunotherapies targeting the B7-H1/PD-1 pathway (anti-PD therapy), have achieved higher objective response rates in patients with much fewer irAEs. This more beneficial tumor response-to-toxicity profile stems from distinct mechanisms of action that restore tumor-induced immune deficiency selectively in the tumor microenvironment, here termed ""immune normalization,"" which has led to its FDA approval in more than 10 cancer indications and facilitated its combination with different therapies. In this article, we wish to highlight the principles of immune normalization and learn from it, with the ultimate goal to guide better designs for future cancer immunotherapies.","Sanmamed, Miguel F;Chen, Lieping"
30245014,2018,Cell,Evolutionary Pressure against MHC Class II Binding Cancer Mutations.,The anti-cancer immune response against mutated peptides of potential immunological relevance (neoantigens) is primarily attributed to MHC-I-restricted cytotoxic CD8,"Marty Pyke, Rachel;Thompson, Wesley Kurt;Salem, Rany M;Font-Burgada, Joan;Zanetti, Maurizio;Carter, Hannah"
30220459,2018,Cell,Transaminase Inhibition by 2-Hydroxyglutarate Impairs Glutamate Biosynthesis and Redox Homeostasis in Glioma.,"IDH1 mutations are common in low-grade gliomas and secondary glioblastomas and cause overproduction of (R)-2HG. (R)-2HG modulates the activity of many enzymes, including some that are linked to transformation and some that are probably bystanders. Although prior work on (R)-2HG targets focused on 2OG-dependent dioxygenases, we found that (R)-2HG potently inhibits the 2OG-dependent transaminases BCAT1 and BCAT2, likely as a bystander effect, thereby decreasing glutamate levels and increasing dependence on glutaminase for the biosynthesis of glutamate and one of its products, glutathione. Inhibiting glutaminase specifically sensitized IDH mutant glioma cells to oxidative stress in vitro and to radiation in vitro and in vivo. These findings highlight the complementary roles for BCATs and glutaminase in glutamate biosynthesis, explain the sensitivity of IDH mutant cells to glutaminase inhibitors, and suggest a strategy for maximizing the effectiveness of such inhibitors against IDH mutant gliomas.","McBrayer, Samuel K;Mayers, Jared R;DiNatale, Gabriel J;Shi, Diana D;Khanal, Januka;Chakraborty, Abhishek A;Sarosiek, Kristopher A;Briggs, Kimberly J;Robbins, Alissa K;Sewastianik, Tomasz;Shareef, Sarah J;Olenchock, Benjamin A;Parker, Seth J;Tateishi, Kensuke;Spinelli, Jessica B;Islam, Mirazul;Haigis, Marcia C;Looper, Ryan E;Ligon, Keith L;Bernstein, Bradley E;Carrasco, Ruben D;Cahill, Daniel P;Asara, John M;Metallo, Christian M;Yennawar, Neela H;Vander Heiden, Matthew G;Kaelin, William G"
30193111,2018,Cell,A Structured Tumor-Immune Microenvironment in Triple Negative Breast Cancer Revealed by Multiplexed Ion Beam Imaging.,"The immune system is critical in modulating cancer progression, but knowledge of immune composition, phenotype, and interactions with tumor is limited. We used multiplexed ion beam imaging by time-of-flight (MIBI-TOF) to simultaneously quantify in situ expression of 36 proteins covering identity, function, and immune regulation at sub-cellular resolution in 41 triple-negative breast cancer patients. Multi-step processing, including deep-learning-based segmentation, revealed variability in the composition of tumor-immune populations across individuals, reconciled by overall immune infiltration and enriched co-occurrence of immune subpopulations and checkpoint expression. Spatial enrichment analysis showed immune mixed and compartmentalized tumors, coinciding with expression of PD1, PD-L1, and IDO in a cell-type- and location-specific manner. Ordered immune structures along the tumor-immune border were associated with compartmentalization and linked to survival. These data demonstrate organization in the tumor-immune microenvironment that is structured in cellular composition, spatial arrangement, and regulatory-protein expression and provide a framework to apply multiplexed imaging to immune oncology.","Keren, Leeat;Bosse, Marc;Marquez, Diana;Angoshtari, Roshan;Jain, Samir;Varma, Sushama;Yang, Soo-Ryum;Kurian, Allison;Van Valen, David;West, Robert;Bendall, Sean C;Angelo, Michael"
