pmid,year,journal,title,abstract,authors
31171880,2019,Nature medicine,Metagenomic and metabolomic analyses reveal distinct stage-specific phenotypes of the gut microbiota in colorectal cancer.,"In most cases of sporadic colorectal cancers, tumorigenesis is a multistep process, involving genomic alterations in parallel with morphologic changes. In addition, accumulating evidence suggests that the human gut microbiome is linked to the development of colorectal cancer. Here we performed fecal metagenomic and metabolomic studies on samples from a large cohort of 616 participants who underwent colonoscopy to assess taxonomic and functional characteristics of gut microbiota and metabolites. Microbiome and metabolome shifts were apparent in cases of multiple polypoid adenomas and intramucosal carcinomas, in addition to more advanced lesions. We found two distinct patterns of microbiome elevations. First, the relative abundance of Fusobacterium nucleatum spp. was significantly (P < 0.005) elevated continuously from intramucosal carcinoma to more advanced stages. Second, Atopobium parvulum and Actinomyces odontolyticus, which co-occurred in intramucosal carcinomas, were significantly (P < 0.005) increased only in multiple polypoid adenomas and/or intramucosal carcinomas. Metabolome analyses showed that branched-chain amino acids and phenylalanine were significantly (P < 0.005) increased in intramucosal carcinomas and bile acids, including deoxycholate, were significantly (P < 0.005) elevated in multiple polypoid adenomas and/or intramucosal carcinomas. We identified metagenomic and metabolomic markers to discriminate cases of intramucosal carcinoma from the healthy controls. Our large-cohort multi-omics data indicate that shifts in the microbiome and metabolome occur from the very early stages of the development of colorectal cancer, which is of possible etiological and diagnostic importance.","Yachida, Shinichi;Mizutani, Sayaka;Shiroma, Hirotsugu;Shiba, Satoshi;Nakajima, Takeshi;Sakamoto, Taku;Watanabe, Hikaru;Masuda, Keigo;Nishimoto, Yuichiro;Kubo, Masaru;Hosoda, Fumie;Rokutan, Hirofumi;Matsumoto, Minori;Takamaru, Hiroyuki;Yamada, Masayoshi;Matsuda, Takahisa;Iwasaki, Motoki;Yamaji, Taiki;Yachida, Tatsuo;Soga, Tomoyoshi;Kurokawa, Ken;Toyoda, Atsushi;Ogura, Yoshitoshi;Hayashi, Tetsuya;Hatakeyama, Masanori;Nakagama, Hitoshi;Saito, Yutaka;Fukuda, Shinji;Shibata, Tatsuhiro;Yamada, Takuji"
31171879,2019,Nature medicine,Combined BRAF and MEK inhibition with PD-1 blockade immunotherapy in BRAF-mutant melanoma.,Oncogene-targeted therapy with B-Raf proto-oncogene (BRAF) and mitogen-activated protein kinase kinase (MEK) inhibitors induces a high initial response rate in patients with BRAF,"Ribas, Antoni;Lawrence, Donald;Atkinson, Victoria;Agarwal, Sachin;Miller, Wilson H;Carlino, Matteo S;Fisher, Rosalie;Long, Georgina V;Hodi, F Stephen;Tsoi, Jennifer;Grasso, Catherine S;Mookerjee, Bijoyesh;Zhao, Qing;Ghori, Razi;Moreno, Blanca Homet;Ibrahim, Nageatte;Hamid, Omid"
31171878,2019,Nature medicine,"Dabrafenib, trametinib and pembrolizumab or placebo in BRAF-mutant melanoma.",Blocking programmed death 1 (PD-1) may enhance the durability of anti-tumor responses that are induced by the combined inhibition of BRAF and MEK,"Ascierto, Paolo Antonio;Ferrucci, Pier Francesco;Fisher, Rosalie;Del Vecchio, Michele;Atkinson, Victoria;Schmidt, Henrik;Schachter, Jacob;Queirolo, Paola;Long, Georgina V;Di Giacomo, Anna Maria;Svane, Inge Marie;Lotem, Michal;Bar-Sela, Gil;Couture, Felix;Mookerjee, Bijoyesh;Ghori, Razi;Ibrahim, Nageatte;Moreno, Blanca Homet;Ribas, Antoni"
31171876,2019,Nature medicine,Atezolizumab plus cobimetinib and vemurafenib in BRAF-mutated melanoma patients.,"Melanoma treatment has progressed in the past decade with the development and approval of immune checkpoint inhibitors targeting programmed death 1 (PD-1) or its ligand (PD-L1) and cytotoxic T lymphocyte-associated antigen 4, as well as small molecule inhibitors of BRAF and/or MEK for the subgroup of patients with BRAF","Sullivan, Ryan J;Hamid, Omid;Gonzalez, Rene;Infante, Jeffrey R;Patel, Manish R;Hodi, F Stephen;Lewis, Karl D;Tawbi, Hussein A;Hernandez, Genevive;Wongchenko, Matthew J;Chang, YiMeng;Roberts, Louise;Ballinger, Marcus;Yan, Yibing;Cha, Edward;Hwu, Patrick"
31110349,2019,Nature medicine,End-to-end lung cancer screening with three-dimensional deep learning on low-dose chest computed tomography.,"With an estimated 160,000 deaths in 2018, lung cancer is the most common cause of cancer death in the United States","Ardila, Diego;Kiraly, Atilla P;Bharadwaj, Sujeeth;Choi, Bokyung;Reicher, Joshua J;Peng, Lily;Tse, Daniel;Etemadi, Mozziyar;Ye, Wenxing;Corrado, Greg;Naidich, David P;Shetty, Shravya"
31086347,2019,Nature medicine,Immune induction strategies in metastatic triple-negative breast cancer to enhance the sensitivity to PD-1 blockade: the TONIC trial.,The efficacy of programmed cell death protein 1 (PD-1) blockade in metastatic triple-negative breast cancer (﻿TNBC﻿) is low,"Voorwerk, Leonie;Slagter, Maarten;Horlings, Hugo M;Sikorska, Karolina;van de Vijver, Koen K;de Maaker, Michiel;Nederlof, Iris;Kluin, Roelof J C;Warren, Sarah;Ong, SuFey;Wiersma, Terry G;Russell, Nicola S;Lalezari, Ferry;Schouten, Philip C;Bakker, Noor A M;Ketelaars, Steven L C;Peters, Dennis;Lange, Charlotte A H;van Werkhoven, Erik;van Tinteren, Harm;Mandjes, Ingrid A M;Kemper, Inge;Onderwater, Suzanne;Chalabi, Myriam;Wilgenhof, Sofie;Haanen, John B A G;Salgado, Roberto;de Visser, Karin E;Sonke, Gabe S;Wessels, Lodewyk F A;Linn, Sabine C;Schumacher, Ton N;Blank, Christian U;Kok, Marleen"
31068703,2019,Nature medicine,The landscape of cancer cell line metabolism.,"Despite considerable efforts to identify cancer metabolic alterations that might unveil druggable vulnerabilities, systematic characterizations of metabolism as it relates to functional genomic features and associated dependencies remain uncommon. To further understand the metabolic diversity of cancer, we profiled 225 metabolites in 928 cell lines from more than 20 cancer types in the Cancer Cell Line Encyclopedia (CCLE) using liquid chromatography-mass spectrometry (LC-MS). This resource enables unbiased association analysis linking the cancer metabolome to genetic alterations, epigenetic features and gene dependencies. Additionally, by screening barcoded cell lines, we demonstrated that aberrant ASNS hypermethylation sensitizes subsets of gastric and hepatic cancers to asparaginase therapy. Finally, our analysis revealed distinct synthesis and secretion patterns of kynurenine, an immune-suppressive metabolite, in model cancer cell lines. Together, these findings and related methodology provide comprehensive resources that will help clarify the landscape of cancer metabolism.","Li, Haoxin;Ning, Shaoyang;Ghandi, Mahmoud;Kryukov, Gregory V;Gopal, Shuba;Deik, Amy;Souza, Amanda;Pierce, Kerry;Keskula, Paula;Hernandez, Desiree;Ann, Julie;Shkoza, Dojna;Apfel, Verena;Zou, Yilong;Vazquez, Francisca;Barretina, Jordi;Pagliarini, Raymond A;Galli, Giorgio G;Root, David E;Hahn, William C;Tsherniak, Aviad;Giannakis, Marios;Schreiber, Stuart L;Clish, Clary B;Garraway, Levi A;Sellers, William R"
31011208,2019,Nature medicine,Immunogenic neoantigens derived from gene fusions stimulate T cell responses.,"Anti-tumor immunity is driven by self versus non-self discrimination. Many immunotherapeutic approaches to cancer have taken advantage of tumor neoantigens derived from somatic mutations. Here, we demonstrate that gene fusions are a source of immunogenic neoantigens that can mediate responses to immunotherapy. We identified an exceptional responder with metastatic head and neck cancer who experienced a complete response to immune checkpoint inhibitor therapy, despite a low mutational load and minimal pre-treatment immune infiltration in the tumor. Using whole-genome sequencing and RNA sequencing, we identified a novel gene fusion and demonstrated that it produces a neoantigen that can specifically elicit a host cytotoxic T cell response. In a cohort of head and neck tumors with low mutation burden, minimal immune infiltration and prevalent gene fusions, we also identified gene fusion-derived neoantigens that generate cytotoxic T cell responses. Finally, analyzing additional datasets of fusion-positive cancers, including checkpoint-inhibitor-treated tumors, we found evidence of immune surveillance resulting in negative selective pressure against gene fusion-derived neoantigens. These findings highlight an important class of tumor-specific antigens and have implications for targeting gene fusion events in cancers that would otherwise be less poised for response to immunotherapy, including cancers with low mutational load and minimal immune infiltration.","Yang, Wei;Lee, Ken-Wing;Srivastava, Raghvendra M;Kuo, Fengshen;Krishna, Chirag;Chowell, Diego;Makarov, Vladimir;Hoen, Douglas;Dalin, Martin G;Wexler, Leonard;Ghossein, Ronald;Katabi, Nora;Nadeem, Zaineb;Cohen, Marc A;Tian, S Ken;Robine, Nicolas;Arora, Kanika;Geiger, Heather;Agius, Phaedra;Bouvier, Nancy;Huberman, Kety;Vanness, Katelynd;Havel, Jonathan J;Sims, Jennifer S;Samstein, Robert M;Mandal, Rajarsi;Tepe, Justin;Ganly, Ian;Ho, Alan L;Riaz, Nadeem;Wong, Richard J;Shukla, Neerav;Chan, Timothy A;Morris, Luc G T"
31011207,2019,Nature medicine,A safe and potent anti-CD19 CAR T cell therapy.,"Anti-CD19 chimeric antigen receptor (CAR) T cell therapies can cause severe cytokine-release syndrome (CRS) and neurotoxicity, impeding their therapeutic application. Here we generated a new anti-CD19 CAR molecule (CD19-BBz(86)) derived from the CD19-BBz prototype bearing co-stimulatory 4-1BB and CD3ζ domains. We found that CD19-BBz(86) CAR T cells produced lower levels of cytokines, expressed higher levels of antiapoptotic molecules and proliferated more slowly than the prototype CD19-BBz CAR T cells, although they retained potent cytolytic activity. We performed a phase 1 trial of CD19-BBz(86) CAR T cell therapy in patients with B cell lymphoma (ClinicalTrials.gov identifier NCT02842138 ). Complete remission occurred in 6 of 11 patients (54.5%) who each received a dose of 2 × 10","Ying, Zhitao;Huang, Xue F;Xiang, Xiaoyu;Liu, Yanling;Kang, Xi;Song, Yuqin;Guo, Xiaokai;Liu, Hanzhi;Ding, Ning;Zhang, Tingting;Duan, Panpan;Lin, Yufu;Zheng, Wen;Wang, Xiaopei;Lin, Ningjing;Tu, Meifeng;Xie, Yan;Zhang, Chen;Liu, Weiping;Deng, Lijuan;Gao, Shunyu;Ping, Lingyan;Wang, Xuejuan;Zhou, Nina;Zhang, Junqing;Wang, Yulong;Lin, Songfeng;Mamuti, Mierzhati;Yu, Xueyun;Fang, Lizhu;Wang, Shuai;Song, Haifeng;Wang, Guan;Jones, Lindsey;Zhu, Jun;Chen, Si-Yi"
31011206,2019,Nature medicine,Molecular profiling of cancer patients enables personalized combination therapy: the I-PREDICT study.,Cancer treatments have evolved from indiscriminate cytotoxic agents to selective genome- and immune-targeted drugs that have transformed the outcomes of some malignancies,"Sicklick, Jason K;Kato, Shumei;Okamura, Ryosuke;Schwaederle, Maria;Hahn, Michael E;Williams, Casey B;De, Pradip;Krie, Amy;Piccioni, David E;Miller, Vincent A;Ross, Jeffrey S;Benson, Adam;Webster, Jennifer;Stephens, Philip J;Lee, J Jack;Fanta, Paul T;Lippman, Scott M;Leyland-Jones, Brian;Kurzrock, Razelle"
