pmid,year,journal,title,abstract,authors
31000662,2019.0,"Science (New York, N.Y.)",Intrinsic apoptosis shapes the tumor spectrum linked to inactivation of the deubiquitinase BAP1.,"Malignancies arising from mutation of tumor suppressors have unexplained tissue proclivity. For example, ","He, Meng;Chaurushiya, Mira S;Webster, Joshua D;Kummerfeld, Sarah;Reja, Rohit;Chaudhuri, Subhra;Chen, Ying-Jiun;Modrusan, Zora;Haley, Benjamin;Dugger, Debra L;Eastham-Anderson, Jeffrey;Lau, Shari;Dey, Anwesha;Caothien, Roger;Roose-Girma, Merone;Newton, Kim;Dixit, Vishva M"
30765538,2019.0,"Science (New York, N.Y.)",The human gut bacterial genotoxin colibactin alkylates DNA.,Certain ,"Wilson, Matthew R;Jiang, Yindi;Villalta, Peter W;Stornetta, Alessia;Boudreau, Paul D;Carrá, Andrea;Brennan, Caitlin A;Chun, Eunyoung;Ngo, Lizzie;Samson, Leona D;Engelward, Bevin P;Garrett, Wendy S;Balbo, Silvia;Balskus, Emily P"
30733421,2019.0,"Science (New York, N.Y.)",Tumor metastasis to lymph nodes requires YAP-dependent metabolic adaptation.,"In cancer patients, metastasis of tumors to sentinel lymph nodes (LNs) predicts disease progression and often guides treatment decisions. The mechanisms underlying tumor LN metastasis are poorly understood. By using comparative transcriptomics and metabolomics analyses of primary and LN-metastatic tumors in mice, we found that LN metastasis requires that tumor cells undergo a metabolic shift toward fatty acid oxidation (FAO). Transcriptional coactivator yes-associated protein (YAP) is selectively activated in LN-metastatic tumors, leading to the up-regulation of genes in the FAO signaling pathway. Pharmacological inhibition of FAO or genetic ablation of YAP suppressed LN metastasis in mice. Several bioactive bile acids accumulated to high levels in the metastatic LNs, and these bile acids activated YAP in tumor cells, likely through the nuclear vitamin D receptor. Inhibition of FAO or YAP may merit exploration as a potential therapeutic strategy for mitigating tumor metastasis to LNs.","Lee, Choong-Kun;Jeong, Seung-Hwan;Jang, Cholsoon;Bae, Hosung;Kim, Yoo Hyung;Park, Intae;Kim, Sang Kyum;Koh, Gou Young"
30573629,2018.0,"Science (New York, N.Y.)",NK cell-mediated cytotoxicity contributes to tumor control by a cytostatic drug combination.,"Molecularly targeted therapies aim to obstruct cell autonomous programs required for tumor growth. We show that mitogen-activated protein kinase (MAPK) and cyclin-dependent kinase 4/6 inhibitors act in combination to suppress the proliferation of KRAS-mutant lung cancer cells while simultaneously provoking a natural killer (NK) cell surveillance program leading to tumor cell death. The drug combination, but neither agent alone, promotes retinoblastoma (RB) protein-mediated cellular senescence and activation of the immunomodulatory senescence-associated secretory phenotype (SASP). SASP components tumor necrosis factor-α and intercellular adhesion molecule-1 are required for NK cell surveillance of drug-treated tumor cells, which contributes to tumor regressions and prolonged survival in a KRAS-mutant lung cancer mouse model. Therefore, molecularly targeted agents capable of inducing senescence can produce tumor control through non-cell autonomous mechanisms involving NK cell surveillance.","Ruscetti, Marcus;Leibold, Josef;Bott, Matthew J;Fennell, Myles;Kulick, Amanda;Salgado, Nelson R;Chen, Chi-Chao;Ho, Yu-Jui;Sanchez-Rivera, Francisco J;Feucht, Judith;Baslan, Timour;Tian, Sha;Chen, Hsuan-An;Romesser, Paul B;Poirier, John T;Rudin, Charles M;de Stanchina, Elisa;Manchado, Eusebio;Sherr, Charles J;Lowe, Scott W"
30523111,2018.0,"Science (New York, N.Y.)",A mechanistic classification of clinical phenotypes in neuroblastoma.,"Neuroblastoma is a pediatric tumor of the sympathetic nervous system. Its clinical course ranges from spontaneous tumor regression to fatal progression. To investigate the molecular features of the divergent tumor subtypes, we performed genome sequencing on 416 pretreatment neuroblastomas and assessed telomere maintenance mechanisms in 208 of these tumors. We found that patients whose tumors lacked telomere maintenance mechanisms had an excellent prognosis, whereas the prognosis of patients whose tumors harbored telomere maintenance mechanisms was substantially worse. Survival rates were lowest for neuroblastoma patients whose tumors harbored telomere maintenance mechanisms in combination with RAS and/or p53 pathway mutations. Spontaneous tumor regression occurred both in the presence and absence of these mutations in patients with telomere maintenance-negative tumors. On the basis of these data, we propose a mechanistic classification of neuroblastoma that may benefit the clinical management of patients.","Ackermann, Sandra;Cartolano, Maria;Hero, Barbara;Welte, Anne;Kahlert, Yvonne;Roderwieser, Andrea;Bartenhagen, Christoph;Walter, Esther;Gecht, Judith;Kerschke, Laura;Volland, Ruth;Menon, Roopika;Heuckmann, Johannes M;Gartlgruber, Moritz;Hartlieb, Sabine;Henrich, Kai-Oliver;Okonechnikov, Konstantin;Altmüller, Janine;Nürnberg, Peter;Lefever, Steve;de Wilde, Bram;Sand, Frederik;Ikram, Fakhera;Rosswog, Carolina;Fischer, Janina;Theissen, Jessica;Hertwig, Falk;Singhi, Aatur D;Simon, Thorsten;Vogel, Wenzel;Perner, Sven;Krug, Barbara;Schmidt, Matthias;Rahmann, Sven;Achter, Viktor;Lang, Ulrich;Vokuhl, Christian;Ortmann, Monika;Büttner, Reinhard;Eggert, Angelika;Speleman, Frank;O'Sullivan, Roderick J;Thomas, Roman K;Berthold, Frank;Vandesompele, Jo;Schramm, Alexander;Westermann, Frank;Schulte, Johannes H;Peifer, Martin;Fischer, Matthias"
30498128,2018.0,"Science (New York, N.Y.)",Single-cell multiomics sequencing and analyses of human colorectal cancer.,"Although genomic instability, epigenetic abnormality, and gene expression dysregulation are hallmarks of colorectal cancer, these features have not been simultaneously analyzed at single-cell resolution. Using optimized single-cell multiomics sequencing together with multiregional sampling of the primary tumor and lymphatic and distant metastases, we developed insights beyond intratumoral heterogeneity. Genome-wide DNA methylation levels were relatively consistent within a single genetic sublineage. The genome-wide DNA demethylation patterns of cancer cells were consistent in all 10 patients whose DNA we sequenced. The cancer cells' DNA demethylation degrees clearly correlated with the densities of the heterochromatin-associated histone modification H3K9me3 of normal tissue and those of repetitive element long interspersed nuclear element 1. Our work demonstrates the feasibility of reconstructing genetic lineages and tracing their epigenomic and transcriptomic dynamics with single-cell multiomics sequencing.","Bian, Shuhui;Hou, Yu;Zhou, Xin;Li, Xianlong;Yong, Jun;Wang, Yicheng;Wang, Wendong;Yan, Jia;Hu, Boqiang;Guo, Hongshan;Wang, Jilian;Gao, Shuai;Mao, Yunuo;Dong, Ji;Zhu, Ping;Xiu, Dianrong;Yan, Liying;Wen, Lu;Qiao, Jie;Tang, Fuchou;Fu, Wei"
30385465,2018.0,"Science (New York, N.Y.)",Human tumor genomics and zebrafish modeling identify ,"Melanomas originating from mucosal surfaces have low mutation burden, genomic instability, and poor prognosis. To identify potential driver genes, we sequenced hundreds of cancer-related genes in 43 human mucosal melanomas, cataloging point mutations, amplifications, and deletions. The ","Ablain, Julien;Xu, Mengshu;Rothschild, Harriet;Jordan, Richard C;Mito, Jeffrey K;Daniels, Brianne H;Bell, Caitlin F;Joseph, Nancy M;Wu, Hong;Bastian, Boris C;Zon, Leonard I;Yeh, Iwei"
30361341,2018.0,"Science (New York, N.Y.)",The chromatin accessibility landscape of primary human cancers.,"We present the genome-wide chromatin accessibility profiles of 410 tumor samples spanning 23 cancer types from The Cancer Genome Atlas (TCGA). We identify 562,709 transposase-accessible DNA elements that substantially extend the compendium of known cis-regulatory elements. Integration of ATAC-seq (the assay for transposase-accessible chromatin using sequencing) with TCGA multi-omic data identifies a large number of putative distal enhancers that distinguish molecular subtypes of cancers, uncovers specific driving transcription factors via protein-DNA footprints, and nominates long-range gene-regulatory interactions in cancer. These data reveal genetic risk loci of cancer predisposition as active DNA regulatory elements in cancer, identify gene-regulatory interactions underlying cancer immune evasion, and pinpoint noncoding mutations that drive enhancer activation and may affect patient survival. These results suggest a systematic approach to understanding the noncoding genome in cancer to advance diagnosis and therapy.","Corces, M Ryan;Granja, Jeffrey M;Shams, Shadi;Louie, Bryan H;Seoane, Jose A;Zhou, Wanding;Silva, Tiago C;Groeneveld, Clarice;Wong, Christopher K;Cho, Seung Woo;Satpathy, Ansuman T;Mumbach, Maxwell R;Hoadley, Katherine A;Robertson, A Gordon;Sheffield, Nathan C;Felau, Ina;Castro, Mauro A A;Berman, Benjamin P;Staudt, Louis M;Zenklusen, Jean C;Laird, Peter W;Curtis, Christina;Greenleaf, William J;Chang, Howard Y"
30337457,2018.0,"Science (New York, N.Y.)",Somatic mutant clones colonize the human esophagus with age.,"The extent to which cells in normal tissues accumulate mutations throughout life is poorly understood. Some mutant cells expand into clones that can be detected by genome sequencing. We mapped mutant clones in normal esophageal epithelium from nine donors (age range, 20 to 75 years). Somatic mutations accumulated with age and were caused mainly by intrinsic mutational processes. We found strong positive selection of clones carrying mutations in 14 cancer genes, with tens to hundreds of clones per square centimeter. In middle-aged and elderly donors, clones with cancer-associated mutations covered much of the epithelium, with ","Martincorena, Iñigo;Fowler, Joanna C;Wabik, Agnieszka;Lawson, Andrew R J;Abascal, Federico;Hall, Michael W J;Cagan, Alex;Murai, Kasumi;Mahbubani, Krishnaa;Stratton, Michael R;Fitzgerald, Rebecca C;Handford, Penny A;Campbell, Peter J;Saeb-Parsy, Kourosh;Jones, Philip H"
30309915,2018.0,"Science (New York, N.Y.)",Pan-tumor genomic biomarkers for PD-1 checkpoint blockade-based immunotherapy.,"Programmed cell death protein-1 (PD-1) and programmed cell death ligand-1 (PD-L1) checkpoint blockade immunotherapy elicits durable antitumor effects in multiple cancers, yet not all patients respond. We report the evaluation of >300 patient samples across 22 tumor types from four KEYNOTE clinical trials. Tumor mutational burden (TMB) and a T cell-inflamed gene expression profile (GEP) exhibited joint predictive utility in identifying responders and nonresponders to the PD-1 antibody pembrolizumab. TMB and GEP were independently predictive of response and demonstrated low correlation, suggesting that they capture distinct features of neoantigenicity and T cell activation. Analysis of The Cancer Genome Atlas database showed TMB and GEP to have a low correlation, and analysis by joint stratification revealed biomarker-defined patterns of targetable-resistance biology. These biomarkers may have utility in clinical trial design by guiding rational selection of anti-PD-1 monotherapy and combination immunotherapy regimens.","Cristescu, Razvan;Mogg, Robin;Ayers, Mark;Albright, Andrew;Murphy, Erin;Yearley, Jennifer;Sher, Xinwei;Liu, Xiao Qiao;Lu, Hongchao;Nebozhyn, Michael;Zhang, Chunsheng;Lunceford, Jared K;Joe, Andrew;Cheng, Jonathan;Webber, Andrea L;Ibrahim, Nageatte;Plimack, Elizabeth R;Ott, Patrick A;Seiwert, Tanguy Y;Ribas, Antoni;McClanahan, Terrill K;Tomassini, Joanne E;Loboda, Andrey;Kaufman, David"
